product_id,name,category,price,rejection_reasons
308.0,Almond Flour Biscuits,Food - Bakery,,"missing_values, invalid_price"
313.0,Electric Kettle,Kitchen,39.99,duplicate_product_id
314.0,,Health,29.99,missing_values
316.0,,Food - Grains,2.99,missing_values
327.0,Biodegradable Dog Waste Bags,Pets,,"missing_values, invalid_price"
338.0,Couscous,,,"missing_values, invalid_price"
,Foldable Picnic Table,Outdoor,49.99,"missing_values, duplicate_product_id"
349.0,Adjustable Bar Stools,Furniture,,"missing_values, invalid_price"
313.0,Electric Kettle,Kitchen,39.99,duplicate_product_id
313.0,Electric Kettle,Kitchen,39.99,duplicate_product_id
357.0,Ethically-Sourced Coffee Beans,Food - Beverages,-9.99,invalid_price
,Ricotta Cheese,Food - Dairy,4.99,"missing_values, duplicate_product_id"
374.0,Vegetable Quinoa Bowl,Food - Frozen Meals,-5.99,invalid_price
382.0,Wire Shelving Unit,,69.99,missing_values
390.0,Emergency Preparedness Kit,Safety,,"missing_values, invalid_price"
403.0,Smartphone Stand,,15.49,missing_values
406.0,,Health,14.99,missing_values
408.0,Whole Grain Cereal,Food - Breakfast,0.0,invalid_price
413.0,,Food - Spices,1.99,missing_values
422.0,,Kitchen,39.99,missing_values
,Elderberry Syrup,Food - Supplements,11.99,"missing_values, duplicate_product_id"
443.0,,Office,299.99,missing_values
,Fitbit Activity Tracker,Fitness,99.99,"missing_values, duplicate_product_id"
446.0,High-Quality Yoga Block,Fitness,12.99,duplicate_product_id
447.0,,Food - Beverages,4.99,missing_values
,Spicy Chicken Wings,Food - Meat,9.99,"missing_values, duplicate_product_id"
,Wild Rice & Quinoa Mix,Food - Grains,2.99,"missing_values, duplicate_product_id"
,Cinnamon Sugar Popcorn,Food - Snacks,2.89,"missing_values, duplicate_product_id"
457.0,,Toys,22.99,missing_values
468.0,,Food - Frozen Foods,3.99,missing_values
446.0,High-Quality Yoga Block,Fitness,12.99,duplicate_product_id
446.0,High-Quality Yoga Block,Fitness,12.99,duplicate_product_id
494.0,,Food - Desserts,4.99,missing_values
512.0,,Food - Snacks,3.49,missing_values
515.0,,Books,27.99,missing_values
516.0,Flavored Instant Oatmeal,Food - Breakfast,-2.99,invalid_price
517.0,Spinach and Feta Wraps,Food - Prepared Foods,0.0,invalid_price
520.0,Fitness Balance Ball,Fitness,,"missing_values, invalid_price"
534.0,Beef Taco Skillet,Food - Meal Kits,8.49,duplicate_product_id
535.0,Honey Lemon Tea,Food - Beverages,3.29,duplicate_product_id
,Ultraviolet Phone Sanitizer,Health,39.99,"missing_values, duplicate_product_id"
548.0,Recipe Book Stand,Kitchen,,"missing_values, invalid_price"
534.0,Beef Taco Skillet,Food - Meal Kits,8.49,duplicate_product_id
535.0,Honey Lemon Tea,Food - Beverages,3.29,duplicate_product_id
569.0,,Food - Snacks,3.29,missing_values
570.0,Pretzel Bites,,4.99,missing_values
,Electric Rice Cooker with Steamer,Kitchen,49.99,"missing_values, duplicate_product_id"
592.0,Chocolate Hazelnut Granola,Food - Cereal,,"missing_values, invalid_price"
599.0,Peanut Butter Pretzel Nuggets,Food - Snacks,3.29,duplicate_product_id
600.0,,Food - Snacks,3.49,missing_values
,Cabbage Slaw Mix,Food - Vegetables,2.29,"missing_values, duplicate_product_id"
599.0,Peanut Butter Pretzel Nuggets,Food - Snacks,3.29,duplicate_product_id
638.0,Inflatable Pool Float,Outdoor,,"missing_values, invalid_price"
,Organic Almonds,Food - Nuts,8.99,"missing_values, duplicate_product_id"
647.0,,Food - Seafood,3.29,missing_values
649.0,Almond Butter Crunch Bar,Food - Snacks,,"missing_values, invalid_price"
,Outdoor Mosquito Repellent Lantern,Outdoor,34.99,"missing_values, duplicate_product_id"
,Set of Measuring Spoons,Kitchen,12.99,"missing_values, duplicate_product_id"
673.0,,Food - Condiments,3.59,missing_values
,Fitness Tracker Band,Fitness,29.99,"missing_values, duplicate_product_id"
698.0,Home Cleaning Robot,Home Appliances,,"missing_values, invalid_price"
709.0,,Food - Bakery,3.49,missing_values
717.0,,Office,49.99,missing_values
719.0,Digital Food Scale,Kitchen,,"missing_values, invalid_price"
727.0,,Automotive,24.99,missing_values
737.0,Tandoori Chicken Marinade,Food - Condiments,,"missing_values, invalid_price"
741.0,LED Flashlight with Rechargeable Batteries,Outdoor,,"missing_values, invalid_price"
745.0,,Garden,39.99,missing_values
750.0,Frozen Fruit Medley,,5.99,missing_values
,Wireless Smart Plug,Smart Home,19.99,"missing_values, duplicate_product_id"
767.0,,Food - Condiments,4.29,missing_values
769.0,Organic Cucumber,Food - Vegetables,,"missing_values, invalid_price"
774.0,Paint By Numbers Kit,,24.99,missing_values
793.0,,Fitness,59.99,missing_values
802.0,,Electronics,199.99,missing_values
,Chocolate Almond Milk,Food - Dairy Alternatives,2.79,"missing_values, duplicate_product_id"
819.0,,Food - Bakery,3.99,missing_values
,Egg Noodles,Food - Grains,2.29,"missing_values, duplicate_product_id"
831.0,Laptop Stand,Accessories,,"missing_values, invalid_price"
849.0,Portable Hammock,Outdoor,,"missing_values, invalid_price"
854.0,Chili Lime Shrimp,Food - Seafood,,"missing_values, invalid_price"
874.0,,Kitchen,34.99,missing_values
877.0,,Home,29.99,missing_values
905.0,,Health,49.99,missing_values
911.0,,Food - Supplements,11.99,missing_values
,Ramen Noodle Soup Cups,Food - Prepared Meals,1.29,"missing_values, duplicate_product_id"
917.0,Pet Caress Brush,,12.99,missing_values
941.0,,Food - Sauces,3.29,missing_values
,Classic Cheeseburger Mix,Food - Meats,5.49,"missing_values, duplicate_product_id"
967.0,,Outdoor,24.99,missing_values
,Smart Fitness Scale,Fitness,49.99,"missing_values, duplicate_product_id"
,Hot Dog Buns,Food - Bakery,2.49,"missing_values, duplicate_product_id"
